Nama,Peta,Harga Espresso,Harga Cappucino,Harga Americano,SpeedTest (mbps),Background Musik,Pengunjung Sepi,Musholla,Tempat main anak,Ada Private Room,Ada Ruang AC,Colokan listrik,Info Tambahan
Oddish Family Hub / All Rich Resto,Jl Umbul Permai,"Rp18.000,00","Rp30.000,00","Rp22.000,00",100,Ya,Ya,Ya,Ya,Tidak,Ya,,
Kolektif Coworking Space,Jl Watugede,"Rp19.000,00","Rp29.000,00","Rp25.000,00",100,Ya,Tidak,Ya,Tidak,Ya,Ya,,virtual office 400rb/bln
Infini Space,Jl Kabupaten,,,,104,Tidak,Ya,Ya,Tidak,,Tidak,Ya,50rb/hari
Kedai Berdikari,Taman Denggung,,,,110,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,
MAG MAG Kitchen & Groceries,Maps,"Rp13.000,00","Rp26.000,00","Rp20.000,00",118:19,Tidak,Ya,Ya,Tidak,Tidak,Ya,,
Hayati | Specialty Coffee,Demangan Baru,,,,13,,,,,,,,
Sukha Coffee Ground,SUHKA COFFEE GROUND,,,,137:225,Ya,Tidak,,Tidak,,Ya,Ya,
ONNI Coffee,Maps,,,,15,,,,,,,,
1009 Coffee,1009 Social Space - Palagan,"Rp21.000,00",,,15:5,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,
Sette,Jombor,,"Rp24.000,00",,155:52,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,
Hofu Coffee,Kledokan,,,,158:52,Ya,Tidak,,Tidak,,Ya,Ya,
Asram Edupark,Asram Edupark,"Rp15.000,00","Rp20.000,00","Rp18.000,00",170,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,"Outdoor, kipas alami"
Salad Squad Mlati,Salad Squad,,,,187:104,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,
Kopi Pandan Arang,Sardonoharjo,,,,190,Ya,Tidak,,Ya,Tidak,Tidak,Ya,
Ruminate Coffee & Roastery,Lempongsari,"Rp23.000,00","Rp32.000,00","Rp28.000,00",20,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,
eplus co coffee & coworking,Candi Gebang,,,,20,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,
Astajava Coffee and Roastery,Astajava Coffee and Roastery,,,,209:229,Ya,Ya,,Tidak,,Ya,Ya,Lebih luas area outdoor-nya
Ethikopia CoffeeBay,Ethikopia CoffeeBay,,"Rp25.000,00",,212.39 : 43.43,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,
Ayem Ayem Coffee,Ayem-Ayem Coffee,,,,213:119,Ya,Ya,Ya,Tidak,,Ya,Ya,
Myosotis Coffee And Eatery,Myosotis Coffee And Eatery,"Rp30.000,00",,,300:298,Ya,Ya,Ya,Ya,Tidak,Ya,,
Rooftop Pasar Prawirotaman Coworking,Rooftop Pasar Prawirotaman,,,,25.6:13.4,Tidak,,,,Ya,Ya,Ya,
Space CCC / Chronica,Space Roastery CCC (Coffee Coffee Cult),,,,3.5:8.5,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,"Buka dari jam 7, colokan sedikit dan agak jauh dari meja"
Saka Coffee Yogyakarta,Tegalrejo,,,,40,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,
Semaju Kopitien,Pandowoharjo,,,,50,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,
Ekologi,Condongcatur,,,,50,Ya,,,Tidak,,Ya,Ya,
Fore Kaliurang,Fore Coffee - Kaliurang,,,,52:32,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,
The Harjo's Java Resto,Maps,,,,53,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,
The Bean Garden Palagan,Maps,,,,62,,,Ya,Tidak,Ya,Ya,,
Tomoro Coffee Palagan,Palagan,,,,66:72,Ya,Tidak,,Tidak,Tidak,Tidak,Ya,
Escopia+,ESCOPIA+,,,"Rp25.000,00",67:15,Ya,Ya,,,,Ya,Ya,
Cosan Seturan,Seturan,,"Rp19.000,00",,68:30,Tidak,Tidak,Ya,Tidak,,Ya,Ya,
Kalasuka Kopi,Congcat,"Rp30.000,00","Rp30.000,00","Rp30.000,00",70,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,
Perdipe Coffee Palagan Jogja,Palagan,,,,72,,,,,,,,
Ivy Coffee,Condongcatur,,,,75:144,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,
Lamanide,Sariharjo,,"Rp25.000,00",,79:95,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,
KJS Koofi & Java Space,Sinduharjo,,,,82:93,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,
Omore,Palagan,,"Rp28.000,00",,88,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,
Kedai Kaffee K5,Jambon,,"Rp20.000,00","Rp18.000,00",93:89,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,
Tilasawa Coffee,Manukan,,,,96,,,,,,,,
Little Goo Eatery & Playground,Palagan,"Rp15.000,00","Rp25.000,00","Rp20.000,00",,Ya,Ya,,Ya,Tidak,Ya,,
Tentang Kopi Balegong,Pandowoharjo,,,,,,,,Tidak,,Ya,,
Artech Space Coworking Yogyakarta,Jl Sagan,,,,,Tidak,Ya,Ya,Tidak,,Ya,Ya,
POFFEN,,,,,,,,,,,,,
Canie,,,,,,,,,,,,,
Kobessah,,,,,,,,,,,,,
enyui,,,,,,,,,,,,,
Koat Coffe Palagan,Koat Coffee Palagan,,,,,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,
Antologi Collaborative Space,Antologi Collaboractive Space,,,,,,Tidak,Ya,Tidak,Tidak,,Ya,
Sebaya Coffee,Sebaya Kopi,,,,87:78,Ya,Ya,,Tidak,Ya,Ya,Ya,
Blanco Coffee and Books,Blanco Coffee And Books,,,,,,,,,,,Ya,
Volare Coffee,Volare Coffee,,,,133:111,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Buka dari jam 7
Internet Learning Cafe,Internet Learning Cafe - Jakal,,,,67:67,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,
99 Coffee Roaster,99 Coffee Roaster,"Rp20.000,00","Rp30.000,00","Rp22.000,00",32:59,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,
Resonansi - Coffee Ramen Burger,Resonansi - Coffee Ramen Burger,"Rp20.000,00","Rp25.000,00","Rp22.000,00",85:44,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,
Eastern Kopi TM Seturan,Eastern Kopi TM,,,,218:69,Ya,,,Tidak,,Ya,Ya,
